x,y,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,STATION_NAME,LOCAL_DAY,ID,TOTAL_PRECIPITATION,LOCAL_DATE,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY
-114.01333333333334,51.1225,0,,9,,,39,,18,0,CALGARY INTL A,15,3031092.2012.9.15,0,2012-09-15 00:00:00,AB,,12.8,5.6,,,5.2,,,2012,,,,,0,,19.9,,3031092,
-114.01333333333334,51.1225,0,,9,,,35,,19,0,CALGARY INTL A,16,3031092.2012.9.16,0,2012-09-16 00:00:00,AB,,10.5,3.8,,,7.5,,,2012,,,,,0,,17.1,,3031092,
-114.01333333333334,51.1225,0,,9,,,35,,34,0,CALGARY INTL A,17,3031092.2012.9.17,0,2012-09-17 00:00:00,AB,,14.6,4.2,,,3.4,,,2012,,,,,0,,24.9,,3031092,
-114.01333333333334,51.1225,0,,9,,,52,,2,0,CALGARY INTL A,18,3031092.2012.9.18,0,2012-09-18 00:00:00,AB,,17.1,7.2,,,0.9,,,2012,,,,,0,,27,,3031092,
-114.01333333333334,51.1225,0,,9,,,33,,19,0,CALGARY INTL A,19,3031092.2012.9.19,0,2012-09-19 00:00:00,AB,,14.1,4,,,3.9,,,2012,,,,,0,,24.1,,3031092,
-114.01333333333334,51.1225,0,,9,,,33,,35,0,CALGARY INTL A,20,3031092.2012.9.20,0,2012-09-20 00:00:00,AB,,16.2,6.3,,,1.8,,,2012,,,,,0,,26.1,,3031092,
-114.01333333333334,51.1225,0,,9,,,32,,19,0,CALGARY INTL A,21,3031092.2012.9.21,0,2012-09-21 00:00:00,AB,,15.4,5.2,,,2.6,,,2012,,,,,0,,25.6,,3031092,
-114.01333333333334,51.1225,0,,9,,,32,,18,0,CALGARY INTL A,22,3031092.2012.9.22,0,2012-09-22 00:00:00,AB,,16.5,6.8,,,1.5,,,2012,,,,,0,,26.1,,3031092,
-114.01333333333334,51.1225,0,,9,,,0,,0,0,CALGARY INTL A,23,3031092.2012.9.23,0,2012-09-23 00:00:00,AB,,15.4,6.3,,,2.6,,,2012,,,,,0,,24.5,,3031092,
-114.01333333333334,51.1225,0,,9,,,0,,0,0,CALGARY INTL A,24,3031092.2012.9.24,0,2012-09-24 00:00:00,AB,,15.7,6.2,,,2.3,,,2012,,,,,0,,25.2,,3031092,
-114.01333333333334,51.1225,0.6,,9,,,56,,34,0,CALGARY INTL A,25,3031092.2012.9.25,0.6,2012-09-25 00:00:00,AB,,12.4,6.4,,,5.6,,,2012,,,,,0,,18.4,,3031092,
-114.01333333333334,51.1225,2,,9,,,33,,30,0,CALGARY INTL A,26,3031092.2012.9.26,2,2012-09-26 00:00:00,AB,,12.9,8.5,,,5.1,,,2012,,,,,0,,17.3,,3031092,
-114.01333333333334,51.1225,0,,9,,,37,,19,0,CALGARY INTL A,27,3031092.2012.9.27,0,2012-09-27 00:00:00,AB,,12.7,3.8,,,5.3,,,2012,,,,,0,,21.6,,3031092,
-114.01333333333334,51.1225,0,,9,,,33,,27,0,CALGARY INTL A,28,3031092.2012.9.28,0,2012-09-28 00:00:00,AB,,16.7,6.7,,,1.3,,,2012,,,,,0,,26.6,,3031092,
-114.01333333333334,51.1225,0,,9,,,44,,34,0,CALGARY INTL A,29,3031092.2012.9.29,0,2012-09-29 00:00:00,AB,,14.9,8.5,,,3.1,,,2012,,,,,0,,21.2,,3031092,
-114.01333333333334,51.1225,0,,9,,,37,,35,0,CALGARY INTL A,30,3031092.2012.9.30,0,2012-09-30 00:00:00,AB,,10.7,4.7,,,7.3,,,2012,,,,,0,,16.6,,3031092,
-114.01333333333334,51.1225,0.4,,10,,,67,,36,0,CALGARY INTL A,1,3031092.2012.10.1,0.4,2012-10-01 00:00:00,AB,,14.7,5.3,,,3.3,,,2012,,,,,0,,24.1,,3031092,
-114.01333333333334,51.1225,,E,10,E,,,M,,0,CALGARY INTL A,2,3031092.2012.10.2,11.8,2012-10-02 00:00:00,AB,,5.6,3.5,M,M,12.4,E,,2012,E,,E,M,,,7.6,E,3031092,
-114.01333333333334,51.1225,3,,10,,,52,,33,0,CALGARY INTL A,3,3031092.2012.10.3,3,2012-10-03 00:00:00,AB,,2.1,-0.9,,,15.9,,,2012,,,,,0,,5,,3031092,
-114.01333333333334,51.1225,0,,10,,,32,,18,0,CALGARY INTL A,5,3031092.2012.10.5,0,2012-10-05 00:00:00,AB,,3.1,-1.4,,,14.9,,,2012,,,,,0,,7.5,,3031092,
-114.01333333333334,51.1225,0,,10,,,63,,33,0,CALGARY INTL A,6,3031092.2012.10.6,0,2012-10-06 00:00:00,AB,,8.5,2.2,,,9.5,,,2012,,,,,0,,14.7,,3031092,
-114.01333333333334,51.1225,0,,10,,,70,,32,0,CALGARY INTL A,7,3031092.2012.10.7,0,2012-10-07 00:00:00,AB,,10.7,1.9,,,7.3,,,2012,,,T,T,0,,19.5,,3031092,
-114.01333333333334,51.1225,1,,10,,,54,,34,0,CALGARY INTL A,8,3031092.2012.10.8,1,2012-10-08 00:00:00,AB,,6.9,3,,,11.1,,,2012,,,,,0,,10.8,,3031092,
-114.01333333333334,51.1225,0,,10,,,61,,27,0,CALGARY INTL A,12,3031092.2012.10.12,0,2012-10-12 00:00:00,AB,,9.5,1.2,,,8.5,,,2012,,,,,0,,17.7,,3031092,
-114.01333333333334,51.1225,0,,10,,,54,,26,0,CALGARY INTL A,14,3031092.2012.10.14,0,2012-10-14 00:00:00,AB,,11.5,4.7,,,6.5,,,2012,,,,,0,,18.2,,3031092,
-114.01333333333334,51.1225,0,,10,,,39,,27,0,CALGARY INTL A,15,3031092.2012.10.15,0,2012-10-15 00:00:00,AB,,12.9,6.6,,,5.1,,,2012,,,,,0,,19.1,,3031092,
-114.01333333333334,51.1225,4.4,,10,,,87,,33,0,CALGARY INTL A,16,3031092.2012.10.16,4.4,2012-10-16 00:00:00,AB,,6.1,0.2,,,11.9,,,2012,,,,,0,,12,,3031092,
-114.01333333333334,51.1225,0,,10,,,63,,29,0,CALGARY INTL A,17,3031092.2012.10.17,0,2012-10-17 00:00:00,AB,,3.7,-2.2,,,14.3,,,2012,,,,,0,,9.6,,3031092,
-114.01333333333334,51.1225,0,,10,,,37,,27,0,CALGARY INTL A,18,3031092.2012.10.18,0,2012-10-18 00:00:00,AB,,5.8,-3.7,,,12.2,,,2012,,,,,0,,15.3,,3031092,
-114.01333333333334,51.1225,0,,10,,,78,,26,0,CALGARY INTL A,19,3031092.2012.10.19,0,2012-10-19 00:00:00,AB,,9.6,2,,,8.4,,,2012,,,T,T,0,,17.1,,3031092,
-114.01333333333334,51.1225,4.4,,10,,,48,,33,0,CALGARY INTL A,20,3031092.2012.10.20,10.8,2012-10-20 00:00:00,AB,,2.8,-3.7,,,15.2,,,2012,,4,,,11,,9.3,,3031092,
-114.01333333333334,51.1225,0,,10,,,33,,35,0,CALGARY INTL A,21,3031092.2012.10.21,0.2,2012-10-21 00:00:00,AB,,-4.5,-5.5,,,22.5,,,2012,,3,,,0.2,,-3.4,,3031092,
-114.01333333333334,51.1225,0,,10,,,0,,0,0,CALGARY INTL A,22,3031092.2012.10.22,3.2,2012-10-22 00:00:00,AB,,-4.9,-5.8,,,22.9,,,2012,,6,,,3.2,,-4,,3031092,
-114.01333333333334,51.1225,0,,10,,,46,,33,0,CALGARY INTL A,23,3031092.2012.10.23,7.6,2012-10-23 00:00:00,AB,,-6.6,-7.5,,,24.6,,,2012,,14,,,7.6,,-5.7,,3031092,
