x,y,SNOW_ON_GROUND,LOCAL_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST,LOCAL_DATE,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN
-113.60583583333333,53.306667222222224,,23,0.5,0,,,3012206.1999.3.23,,17.5,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-23 00:00:00,,,,,,-2.5,,,,,,3012206,3,3.4,,,,
-113.60583583333333,53.306667222222224,,24,1,0,,,3012206.1999.3.24,,17,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-24 00:00:00,,,,,,-3.7,,,,,,3012206,3,5.6,,,,
-113.60583583333333,53.306667222222224,,25,1.9,0,,,3012206.1999.3.25,E,16.1,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-25 00:00:00,,,,,,-2.3,E,,E,,,3012206,3,6,,E,,
-113.60583583333333,53.306667222222224,,26,1.9,0,,,3012206.1999.3.26,,16.1,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-26 00:00:00,,,,,,-2.4,,,,,,3012206,3,6.2,,,,
-113.60583583333333,53.306667222222224,,27,-3.6,0,,,3012206.1999.3.27,,21.6,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-27 00:00:00,,,,,,-11.1,,,,,,3012206,3,4,,,,
-113.60583583333333,53.306667222222224,,28,-3.7,0,,,3012206.1999.3.28,,21.7,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-28 00:00:00,,,,,,-13,,,,,,3012206,3,5.6,,,,
-113.60583583333333,53.306667222222224,,29,-4.9,0,,,3012206.1999.3.29,,22.9,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-29 00:00:00,,,,,,-12.3,,,,,,3012206,3,2.6,,,,
-113.60583583333333,53.306667222222224,,30,-3.1,0,,,3012206.1999.3.30,,21.1,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-30 00:00:00,,,,,,-8.7,,,,,,3012206,3,2.6,,,,
-113.60583583333333,53.306667222222224,,31,-4.4,0,,,3012206.1999.3.31,,22.4,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-31 00:00:00,,,,,,-8.6,,,,,,3012206,3,-0.2,,,,
-113.60583583333333,53.306667222222224,19,1,-4.3,0,,,3012206.1999.4.1,,22.3,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-01 00:00:00,,,,,,-14.4,,,,,,3012206,4,5.8,,,,
-113.60583583333333,53.306667222222224,19,2,0.3,0,,,3012206.1999.4.2,,17.7,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-02 00:00:00,,,,,,-4.8,,,,,,3012206,4,5.4,,,,
-113.60583583333333,53.306667222222224,15,3,0.3,0,,,3012206.1999.4.3,,17.7,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-03 00:00:00,,,,,,-4,,,,,,3012206,4,4.6,,,,
-113.60583583333333,53.306667222222224,13,4,-0.6,0,,,3012206.1999.4.4,,18.6,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-04 00:00:00,,,,,,-4.9,,,,,,3012206,4,3.7,,,,
-113.60583583333333,53.306667222222224,14,5,-1.2,0,,,3012206.1999.4.5,,19.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-05 00:00:00,,,,,,-4.2,,,,,,3012206,4,1.9,,,,
-113.60583583333333,53.306667222222224,13,6,1.2,0,,,3012206.1999.4.6,,16.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-06 00:00:00,,,,,,-4.4,,,,,,3012206,4,6.8,,,,
-113.60583583333333,53.306667222222224,10,7,4.8,0,,,3012206.1999.4.7,,13.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-07 00:00:00,,,,,,-1.8,,,,,,3012206,4,11.4,,,,
-113.60583583333333,53.306667222222224,4,8,5.1,0,E,,3012206.1999.4.8,E,12.9,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-04-08 00:00:00,,,,,,-0.6,E,,E,,,3012206,4,10.8,,E,,
